nro,id_objeto,titulo_original,cultura,periodo,tipo_objeto,tipo_superficie,imagen_url,url,color_dominante,colores,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,estado_anotacion,observaciones_anotacion
1,307941,Bag Tassel,Inca,,bolso_textil,superficie_amplia,abrir,abrir,rojo,rojo amarillo negro verde,medio,media,4 filas de camelidos de 5 en cada fila,zoomorfa,repetitiva,repeticion_lineal,anotado,
2,308024,Embroidered bag with fringe,Nasca,,bolso_textil,superficie_amplia,abrir,abrir,rojo,rojo amarillo azul negro,medio,alta,,abstracta,repetitiva,repeticion_lineal,anotado,
3,307842,Bag,Peruvian,,bolso_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
4,316892,Woman's Mantle (lliclla),Peruvian,,manto,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
5,308079,Tapestry Panel with Stars,Inca,,panel_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
6,307846,Panel with Birds,Inca,,panel_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
7,316978,Four-Cornered Hat,Tiwanaku or Wari,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,abrir,abrir,,,,,,,,,pendiente,
8,308121,Four-Cornered Hat,Wari,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,abrir,abrir,,,,,,,,,pendiente,
9,316962,Four-Cornered Hat,Wari,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,abrir,abrir,,,,,,,,,pendiente,
10,308083,Tapestry Fragment,Inca (?),,tapiz_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
11,320804,Hanging (?) Fragment,Peruvian,,tapiz_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
12,315786,Shirt,Moche,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
13,308120,Tunic,Inca,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
14,675980,Tunic,Wari,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
15,319524,Fragmentary Woman's Dress,Inca,,vestimenta_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
16,317736,Woman's Dress,Chuquibamba,,vestimenta_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
17,320054,Miniature tabard,Inca and Spanish,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
18,751900,Votive checkerboard tunic,Inca,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
19,315700,Embroidered bag with fringe,Nasca,,bolso_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
20,313153,Tunic with Felines,Chimú,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
21,314623,Four-Cornered Hat,Wari,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,abrir,abrir,,,,,,,,,pendiente,
22,313152,Tunic,Inca,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
23,312615,Tunic Fragment,Wari,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
24,316906,Tunic Fragment,Peruvian,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
25,319574,Tunic,Inca,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
26,316939,Miniature Tunic,Inca,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
27,307991,Tunic fragment,Wari,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
28,316913,Chuspa (coca bag),Moche,,bolso_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
29,315690,Bag,Inca,,bolso_textil,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
30,307975,Tunic with Confronting Catfish,Nasca-Wari,,tunica,superficie_amplia,abrir,abrir,,,,,,,,,pendiente,
