source,source_id,accession_number,title,culture,creation_date,classification,technique,medium,department,description,url,image_url,share_license_status,has_image,andean_terms,textile_terms,curation_status,curation_notes,raw_queries
Cleveland Museum of Art,102924,1921.1550,Fragment of a Border,"Peru, South Coast, Paracas, Late Period",300–100 BCE,Textile,cotton plain cloth embroidered in wool outline stitch,,Textiles,,https://clevelandart.org/art/1921.1550,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,CC0,True,paracas; peru; south coast,cloth; cotton; textile; wool,candidate,Pendiente de revision visual.,Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,104234,1922.389,Fragment Composed of Two Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound twill and plain compound tabby; cotton,,Textiles,,https://clevelandart.org/art/1922.389,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,CC0,True,chancay; peru,cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104236,1922.390,Fragment formed of Four Separate Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"two pieces plain cloth, two pieces compound twill; cotton",,Textiles,,https://clevelandart.org/art/1922.390,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104238,1922.392,Fragment,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,"plain cloth, brocaded; cotton",,Textiles,,https://clevelandart.org/art/1922.392,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,CC0,True,north coast; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chimu textile; North Coast textile; Peru textile
Cleveland Museum of Art,104240,1922.394,Border Strip,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,tabby weave with supplementary pattern weft; cotton,,Textiles,,https://clevelandart.org/art/1922.394,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,CC0,True,chancay; peru,cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104241,1922.395,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound cloth; cotton,,Textiles,,https://clevelandart.org/art/1922.395,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104242,1922.395.a,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound cloth; cotton,,Textiles,,https://clevelandart.org/art/1922.395.a,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104243,1922.395.b,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound cloth; cotton,,Textiles,,https://clevelandart.org/art/1922.395.b,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104244,1922.395.c,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound cloth; cotton,,Textiles,,https://clevelandart.org/art/1922.395.c,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104245,1922.395.d,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,plain compound cloth; cotton,,Textiles,,https://clevelandart.org/art/1922.395.d,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104246,1922.396,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.396,https://openaccess-cdn.clevelandart.org/1922.396/1922.396_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104247,1922.396.a,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.396.a,https://openaccess-cdn.clevelandart.org/1922.396.a/1922.396.a_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,104248,1922.396.b,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,Textiles,,https://clevelandart.org/art/1922.396.b,https://openaccess-cdn.clevelandart.org/1922.396.b/1922.396.b_web.jpg,CC0,True,chancay; peru,cotton; textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
