fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,terminos_andinos_auto,terminos_textiles_auto,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,102924,1921.1550,Fragment of a Border,"Peru, South Coast, Paracas, Late Period",300–100 BCE,Textile,Textile,cotton plain cloth embroidered in wool outline stitch,,,https://clevelandart.org/art/1921.1550,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,paracas; peru; south coast,cloth; cotton; textile; wool,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104234,1922.389,Fragment Composed of Two Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound twill and plain compound tabby; cotton,,,https://clevelandart.org/art/1922.389,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,chancay; peru,cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104236,1922.390,Fragment formed of Four Separate Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"two pieces plain cloth, two pieces compound twill; cotton",,,https://clevelandart.org/art/1922.390,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104238,1922.392,Fragment,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,Textile,"plain cloth, brocaded; cotton",,,https://clevelandart.org/art/1922.392,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,north coast; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104240,1922.394,Border Strip,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,tabby weave with supplementary pattern weft; cotton,,,https://clevelandart.org/art/1922.394,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,chancay; peru,cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104241,1922.395,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104242,1922.395.a,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.a,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104243,1922.395.b,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.b,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104244,1922.395.c,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.c,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
Cleveland Museum of Art,104245,1922.395.d,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.d,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,chancay; peru,cloth; cotton; textile,revisar_candidato,aceptar_principal,,,si,principal,,,,,,,,
