fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,102924,,Fragment of a Border,"Peru, South Coast, Paracas, Late Period",300–100 BCE,Textile,Textile,cotton plain cloth embroidered in wool outline stitch,,,https://clevelandart.org/art/1921.1550,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas, Late Period",300–100 BCE,,,,
Cleveland Museum of Art,104234,,Fragment Composed of Two Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound twill and plain compound tabby; cotton,,,https://clevelandart.org/art/1922.389,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104236,,Fragment formed of Four Separate Fabrics Joined,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"two pieces plain cloth, two pieces compound twill; cotton",,,https://clevelandart.org/art/1922.390,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104238,,Fragment,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,Textile,"plain cloth, brocaded; cotton",,,https://clevelandart.org/art/1922.392,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104240,,Border Strip,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,tabby weave with supplementary pattern weft; cotton,,,https://clevelandart.org/art/1922.394,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104241,,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104242,,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.a,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104243,,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.b,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104244,,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.c,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104245,,Four Border Strips,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,plain compound cloth; cotton,,,https://clevelandart.org/art/1922.395.d,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104246,,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.396,https://openaccess-cdn.clevelandart.org/1922.396/1922.396_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
