fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,104250,,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.397,https://openaccess-cdn.clevelandart.org/1922.397/1922.397_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104251,,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.397.a,https://openaccess-cdn.clevelandart.org/1922.397.a/1922.397.a_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104252,,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.397.b,https://openaccess-cdn.clevelandart.org/1922.397.b/1922.397.b_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104253,,Three Border Fragments,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.397.c,https://openaccess-cdn.clevelandart.org/1922.397.c/1922.397.c_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,119617,,Inka Khipu (Fiber Recording Device),"Peru, Inca Period, 15th-16th Century",c. 1400–1532,Miscellaneous,Miscellaneous,"cords, knotted and twisted; cotton and wool",,,https://clevelandart.org/art/1940.469,https://openaccess-cdn.clevelandart.org/1940.469/1940.469_web.jpg,aceptar_secundario,mantener,,si,secundario,,Miscellaneous,"Peru, Inca Period, 15th-16th Century",c. 1400–1532,,,,
Cleveland Museum of Art,119653,,Feathered Panel,"Andes, 7th-15th century",600–1500,Textile,Textile,"feather ""mosaic"": feathers sewed on coarse cotton cloth",,,https://clevelandart.org/art/1940.495,https://openaccess-cdn.clevelandart.org/1940.495/1940.495_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Andes, 7th-15th century",600–1500,,,,
Cleveland Museum of Art,119654,,Band,"Peru, Central Coast?, Lima?, Early Horizon?",c. 600–400 BCE,Textile,Textile,warp-faced weave: llama wool,,,https://clevelandart.org/art/1940.496,https://openaccess-cdn.clevelandart.org/1940.496/1940.496_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, Central Coast?, Lima?, Early Horizon?",c. 600–400 BCE,,,,
Cleveland Museum of Art,124412,,Four-Cornered Hat,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",c. 700–1100 A.D.,Textile,Textile,needle network with cut pile: cotton and wool; reseau for top: cotton,,,https://clevelandart.org/art/1945.378,https://openaccess-cdn.clevelandart.org/1945.378/1945.378_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",c. 700–1100 A.D.,,,,
Cleveland Museum of Art,125339,,Four-Cornered Hat,"Peru, South Coast, Wari Culture, Tiwanaku Style, Middle Horizon, 8th-12th Century",c. 700–1100 A.D.,Textile,Textile,needle network with and without cut pile: cotton and wool,,,https://clevelandart.org/art/1947.291,https://openaccess-cdn.clevelandart.org/1947.291/1947.291_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, South Coast, Wari Culture, Tiwanaku Style, Middle Horizon, 8th-12th Century",c. 700–1100 A.D.,,,,
Cleveland Museum of Art,126795,,Four-Cornered Hat,"Peru, South Coast, Ica Valley, Inca Culture, 15th-16th century",c. 1400–1532,Textile,Textile,camelid fiber,,,https://clevelandart.org/art/1949.192,https://openaccess-cdn.clevelandart.org/1949.192/1949.192_web.jpg,aceptar_secundario,mantener,,si,secundario,,Textile,"Peru, South Coast, Ica Valley, Inca Culture, 15th-16th century",c. 1400–1532,,,,
