fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,terminos_andinos_auto,terminos_textiles_auto,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,107850,1925.480,Head Cloth,"Indonesia, Java, North Coast, early 20th century",early 1900s,Textile,Textile,batik; cotton,,,https://clevelandart.org/art/1925.480,https://openaccess-cdn.clevelandart.org/1925.480/1925.480_web.jpg,north coast,cloth; cotton; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,110055,1928.656,Sarong,"Indonesia, Java, North Coast, 19th century",1800s,Textile,Textile,"batik and applied gold, cotton",,"This sarong, overlaid with gold leaf (or gold dust), would have been worn for high ceremonial occasions and festivals. The gold has been applied only to the parts of the sarong that would show when draped, and on one side only. The delicate, linear design with Chinese phoenixes, butterflies, and leafy tendrils is one of the characteristic styles of batiks made in cities along the north coast of Java. The ""tumpal"" (triangle) design of the wide end border (a pan-Southeast Asian motif that commonly occurs on northern Javanese batiks) seems to have symbolized growth and fertility as well as the sacred mountain, Meru.",https://clevelandart.org/art/1928.656,https://openaccess-cdn.clevelandart.org/1928.656/1928.656_web.jpg,north coast,cotton; textile,revisar_candidato,descartar_no_andino,,,no,descartado,,,,,,,,
Cleveland Museum of Art,110569,1929.136,Slendang (Shoulder Cloth),"Indonesia, Java, North Coast, 19th - early 20th century",1800s-early 1900s,Textile,Textile,"tabby weave, batik; silk",,"Chinese people living in the coastal cities of northern Java made and traded silk batiks like this one. The silk was imported from China, and the motifs were always Chinese. The ""luk wan"" bird, a variation of the Chinese phoenix that occurs on this shoulder cloth, was one of the most common motifs on silk batiks, as is the greenish color of the background. The striped border was meant to simulate fringe even though each end is actually finished with fringe. Silk batiks were made for export, particularly to Bali where they were worn at festivals by wealthy people.",https://clevelandart.org/art/1929.136,https://openaccess-cdn.clevelandart.org/1929.136/1929.136_web.jpg,north coast,cloth; textile,revisar_candidato,descartar_no_andino,,,no,descartado,,,,,,,,
Cleveland Museum of Art,119691,1940.529,Headcloth,"Peru, South Coast, Paracas, Middle Period, c. 600-400 BC (Early Horizon, Epoch 10)",c. 600–400 BCE,Textile,Textile,embroidery on tabby cloth; needle reseau and fringe at border,,"The embroidered design consists entirely of felines, some of which are depicted with trophy heads. Both are very common motifs of Paracas art. The linear and highly stylized design as well as the limited spectrum of colors are characteristic of Paracas embroideries from the Middle Period.",https://clevelandart.org/art/1940.529,https://openaccess-cdn.clevelandart.org/1940.529/1940.529_web.jpg,paracas; peru; south coast,cloth; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,119694,1940.531,Mummy Bundle Turban,"Peru, South Coast, Paracas, 200 BC - AD 200, modern assembly",c. 650–100 BCE,Textile,Textile,"cotton, reed, wool, fur, feathers and other fibers",,,https://clevelandart.org/art/1940.531,https://openaccess-cdn.clevelandart.org/1940.531/1940.531_web.jpg,paracas; peru; south coast,cotton; textile; wool,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126268,1948.478,Border Fragment,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,embroidery in polychrome wools on cotton foundation,,,https://clevelandart.org/art/1948.478,https://openaccess-cdn.clevelandart.org/1948.478/1948.478_web.jpg,nasca; peru; south coast,cotton,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126269,1948.479,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.479,https://openaccess-cdn.clevelandart.org/1948.479/1948.479_web.jpg,nasca; peru; south coast,camelid; fiber,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126271,1948.480,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.480,https://openaccess-cdn.clevelandart.org/1948.480/1948.480_web.jpg,nasca; peru; south coast,camelid; fiber,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126272,1948.481,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,embroidery of polychrome wools on cotton foundation,,,https://clevelandart.org/art/1948.481,https://openaccess-cdn.clevelandart.org/1948.481/1948.481_web.jpg,nasca; peru; south coast,cotton,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126273,1948.482,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.482,https://openaccess-cdn.clevelandart.org/1948.482/1948.482_web.jpg,nasca; peru; south coast,camelid; fiber,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
