fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,107850,,Head Cloth,"Indonesia, Java, North Coast, early 20th century",early 1900s,Textile,Textile,batik; cotton,,,https://clevelandart.org/art/1925.480,https://openaccess-cdn.clevelandart.org/1925.480/1925.480_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Indonesia, Java, North Coast, early 20th century",early 1900s,,,,
Cleveland Museum of Art,110055,,Sarong,"Indonesia, Java, North Coast, 19th century",1800s,Textile,Textile,"batik and applied gold, cotton",,,https://clevelandart.org/art/1928.656,https://openaccess-cdn.clevelandart.org/1928.656/1928.656_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Indonesia, Java, North Coast, 19th century",1800s,,,,
Cleveland Museum of Art,110569,,Slendang (Shoulder Cloth),"Indonesia, Java, North Coast, 19th - early 20th century",1800s-early 1900s,Textile,Textile,"tabby weave, batik; silk",,,https://clevelandart.org/art/1929.136,https://openaccess-cdn.clevelandart.org/1929.136/1929.136_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Indonesia, Java, North Coast, 19th - early 20th century",1800s-early 1900s,,,,
Cleveland Museum of Art,119691,,Headcloth,"Peru, South Coast, Paracas, Middle Period, c. 600-400 BC (Early Horizon, Epoch 10)",c. 600–400 BCE,Textile,Textile,embroidery on tabby cloth; needle reseau and fringe at border,,,https://clevelandart.org/art/1940.529,https://openaccess-cdn.clevelandart.org/1940.529/1940.529_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Coast, Paracas, Middle Period, c. 600-400 BC (Early Horizon, Epoch 10)",c. 600–400 BCE,,,,
Cleveland Museum of Art,119694,,Mummy Bundle Turban,"Peru, South Coast, Paracas, 200 BC - AD 200, modern assembly",c. 650–100 BCE,Textile,Textile,"cotton, reed, wool, fur, feathers and other fibers",,,https://clevelandart.org/art/1940.531,https://openaccess-cdn.clevelandart.org/1940.531/1940.531_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Coast, Paracas, 200 BC - AD 200, modern assembly",c. 650–100 BCE,,,,
Cleveland Museum of Art,126268,,Border Fragment,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,embroidery in polychrome wools on cotton foundation,,,https://clevelandart.org/art/1948.478,https://openaccess-cdn.clevelandart.org/1948.478/1948.478_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Embroidery,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
Cleveland Museum of Art,126269,,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.479,https://openaccess-cdn.clevelandart.org/1948.479/1948.479_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Embroidery,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
Cleveland Museum of Art,126271,,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.480,https://openaccess-cdn.clevelandart.org/1948.480/1948.480_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Embroidery,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
Cleveland Museum of Art,126272,,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,embroidery of polychrome wools on cotton foundation,,,https://clevelandart.org/art/1948.481,https://openaccess-cdn.clevelandart.org/1948.481/1948.481_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Embroidery,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
Cleveland Museum of Art,126273,,Border Fragment with Birds and Flowers,"Peru, South Coast, Nasca",100 BCE–700 CE,Embroidery,Embroidery,"camelid fiber, cross-knit looping (reversible)",,,https://clevelandart.org/art/1948.482,https://openaccess-cdn.clevelandart.org/1948.482/1948.482_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Embroidery,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
Cleveland Museum of Art,128181,,"Medallion, beads, and spindle whorls","Central Andes, North Coast, Chimú (medallion)",1000–1532 (medallion),Jewelry,Jewelry,"bronze, copper, silver",,,https://clevelandart.org/art/1951.173,https://openaccess-cdn.clevelandart.org/1951.173/1951.173_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Jewelry,"Central Andes, North Coast, Chimú (medallion)",1000–1532 (medallion),,,,
Cleveland Museum of Art,130762,,Band with Trophy Heads,"Peru, South Coast, Nasca",100 BCE–700 CE,Textile,Textile,"interlocking warp and weft, single interlock: wool",,,https://clevelandart.org/art/1953.475,https://openaccess-cdn.clevelandart.org/1953.475/1953.475_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, South Coast, Nasca",100 BCE–700 CE,,,,
