id_registro,id_objeto,titulo_original,cultura,periodo,procedencia,tipo_objeto,tipo_superficie,corpus_analisis,material,material_normalizado,tecnica,descripcion,url,imagen_url,imagen_url_miniatura,color_dominante,colores,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,estado_anotacion,observaciones_anotacion,fuente,institucion,imagen_local,titulo_es_sugerido,descripcion_oficial,fecha_objeto,motivo_superficie,licencia,estado_metadata,observaciones,decision_filtro,puntaje_filtro,motivo_filtrado,fecha_descarga,fecha_anotacion,posible_duplicado_suave
MET-307941,307941,Bag Tassel,Inca,,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Bag Tassel. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 8 x 15 3/4 in. (20.32 x 40.01 cm)
Other: 8 in. (20.32 cm).",https://www.metmuseum.org/art/collection/search/307941,"https://images.metmuseum.org/CRDImages/ao/original/DP18687_28.171.4,1.jpg","https://images.metmuseum.org/CRDImages/ao/web-large/DP18687_28.171.4,1.jpg",,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_307941.jpg,Bolsa textil,"Título oficial: Bag Tassel. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 8 x 15 3/4 in. (20.32 x 40.01 cm)
Other: 8 in. (20.32 cm).",15th–16th century,superficie amplia o composición visual útil detectada: ['bag'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-308024,308024,Embroidered bag with fringe,Nasca,,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 8 3/8 × L. 16 1/2 in. (21.26 × 41.91 cm).,https://www.metmuseum.org/art/collection/search/308024,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26535-001.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_308024.jpg,Bolsa textil,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 8 3/8 × L. 16 1/2 in. (21.26 × 41.91 cm).,7th century,superficie amplia o composición visual útil detectada: ['bag'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",2026-06-15,,True
MET-307842,307842,Bag,Peruvian,,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,Camelid hair,fibra de camélido,tejido,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 10th–15th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/8 x 10 1/8 in. (10.46 x 25.72 cm)
Other: 4 1/8 in. (10.46 cm).",https://www.metmuseum.org/art/collection/search/307842,https://images.metmuseum.org/CRDImages/ao/original/DP18689.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP18689.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_307842.jpg,Bolsa textil,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 10th–15th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/8 x 10 1/8 in. (10.46 x 25.72 cm)
Other: 4 1/8 in. (10.46 cm).",10th–15th century,superficie amplia o composición visual útil detectada: ['bag'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,True
MET-316892,316892,Woman's Mantle (lliclla),Peruvian,,Peru,manto,superficie_amplia,corpus_principal_superficie_amplia,Camelid hair,fibra de camélido,tejido,Título oficial: Woman's Mantle (lliclla). Cultura registrada: Peruvian. Fecha del objeto: 17th–18th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35 1/2 x W. 43 3/8 in. (90.2 x 110.2 cm).,https://www.metmuseum.org/art/collection/search/316892,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT3832rev.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_316892.jpg,Manto textil,Título oficial: Woman's Mantle (lliclla). Cultura registrada: Peruvian. Fecha del objeto: 17th–18th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35 1/2 x W. 43 3/8 in. (90.2 x 110.2 cm).,17th–18th century,superficie amplia o composición visual útil detectada: ['mantle'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['mantle'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['mantle'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,False
MET-308079,308079,Tapestry Panel with Stars,Inca,,Peru,panel_textil,superficie_amplia,corpus_principal_superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tapiz; tejido,"Título oficial: Tapestry Panel with Stars. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 6 3/4 x 9 3/4 in. (17.15 x 24.77 cm)
Other: 6 3/4 in. (17.15 cm).",https://www.metmuseum.org/art/collection/search/308079,https://images.metmuseum.org/CRDImages/ao/original/DP18702_33.149.44.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP18702_33.149.44.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_308079.jpg,Panel textil,"Título oficial: Tapestry Panel with Stars. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 6 3/4 x 9 3/4 in. (17.15 x 24.77 cm)
Other: 6 3/4 in. (17.15 cm).",15th–16th century,"superficie amplia o composición visual útil detectada: ['panel', 'tapestry']",Dominio público / Open Access según metadata de The Met,parcial,,aceptar,14,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tapestry'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-307846,307846,Panel with Birds,Inca,,Peru,panel_textil,superficie_amplia,corpus_principal_superficie_amplia,Camelid hair,fibra de camélido,tejido,"Título oficial: Panel with Birds. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 16 1/2 x 37 in. (41.91 x 93.98 cm)
Other: 16 1/2 in. (41.91 cm).",https://www.metmuseum.org/art/collection/search/307846,https://images.metmuseum.org/CRDImages/ao/original/88392.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/88392.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_307846.jpg,Panel textil,"Título oficial: Panel with Birds. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 16 1/2 x 37 in. (41.91 x 93.98 cm)
Other: 16 1/2 in. (41.91 cm).",15th–16th century,superficie amplia o composición visual útil detectada: ['panel'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,11,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-316978,316978,Four-Cornered Hat,Tiwanaku or Wari,,Bolivia or Peru,sombrero_wari_iconografico,objeto_tridimensional_iconografico,corpus_principal_iconografia_wari,Camelid fiber,fibra de camélido; fibra textil,,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku or Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm).,https://www.metmuseum.org/art/collection/search/316978,https://images.metmuseum.org/CRDImages/ao/original/DP-29598-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29598-001.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_316978.jpg,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku or Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm).,500–900 CE,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",Dominio público / Open Access según metadata de The Met,parcial,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari', 'tiwanaku']",2026-06-15,,False
MET-308121,308121,Four-Cornered Hat,Wari,,Peru,sombrero_wari_iconografico,objeto_tridimensional_iconografico,corpus_principal_iconografia_wari,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 7 in. × Circum. 22 1/2 in. (17.8 × 57.2 cm).",https://www.metmuseum.org/art/collection/search/308121,https://images.metmuseum.org/CRDImages/ao/original/DP-29599-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29599-001.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_308121.jpg,Objeto textil,"Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 7 in. × Circum. 22 1/2 in. (17.8 × 57.2 cm).",7th–9th century,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",Dominio público / Open Access según metadata de The Met,parcial,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,False
MET-316962,316962,Four-Cornered Hat,Wari,,Peru,sombrero_wari_iconografico,objeto_tridimensional_iconografico,corpus_principal_iconografia_wari,Camelid hair,fibra de camélido,,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm).,https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_316962.jpg,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm).,7th–9th century,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",Dominio público / Open Access según metadata de The Met,parcial,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,,False
MET-308083,308083,Tapestry Fragment,Inca (?),,Peru,tapiz_textil,superficie_amplia,corpus_principal_superficie_amplia,Camelid hair,fibra de camélido,tapiz; tejido,"Título oficial: Tapestry Fragment. Cultura registrada: Inca (?). Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 11 1/2 x 15 1/4 in. (29.21 x 38.74 cm)
Other: 11 1/2 in. (29.21 cm).",https://www.metmuseum.org/art/collection/search/308083,https://images.metmuseum.org/CRDImages/ao/original/DP101353.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP101353.jpg,,,,,,,,,pendiente,,met,The Metropolitan Museum of Art,outputs/samples/met_textiles_pilot_clean/met_textil_308083.jpg,Fragmento textil,"Título oficial: Tapestry Fragment. Cultura registrada: Inca (?). Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 11 1/2 x 15 1/4 in. (29.21 x 38.74 cm)
Other: 11 1/2 in. (29.21 cm).",15th–16th century,superficie amplia o composición visual útil detectada: ['tapestry'],Dominio público / Open Access según metadata de The Met,parcial,,aceptar,18,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tapestry'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
