fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,675980,MET-675980,The Metropolitan Museum of Art,Tunic,Túnica textil,Wari,,650–1000 CE,Andean region,,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,"Título oficial: Tunic. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: L. 40 3/4 x W. 39 3/4 in. (103.5 x 101 cm) approximately.",https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_675980.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['andean', 'wari']",,,,False,parcial,sin_anotar
met,320054,MET-320054,The Metropolitan Museum of Art,Miniature tabard,Objeto textil,Inca and Spanish,,1600–1700,Bolivia or Peru,,tunica,superficie_amplia,"Cotton, camelid hair, silk, metal",algodón; fibra de camélido,tejido,"Título oficial: Miniature tabard. Cultura registrada: Inca and Spanish. Fecha del objeto: 1600–1700. Material registrado: Cotton, camelid hair, silk, metal. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 14 1/2 x W. 11 in. (36.8 x 27.9 cm).",https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_320054.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca'] | material sugiere objeto no textil: ['metal']",,,,False,parcial,sin_anotar
met,313153,MET-313153,The Metropolitan Museum of Art,Tunic with Felines,Túnica textil,Chimú,,1450–1550,Peru,,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,"Título oficial: Tunic with Felines. Cultura registrada: Chimú. Fecha del objeto: 1450–1550. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 25 x  W. 70  in. (63.5 x 177.8 cm).",https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_313153.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",,,,False,parcial,sin_anotar
met,307991,MET-307991,The Metropolitan Museum of Art,Tunic fragment,Túnica textil,Wari,,650–1000 CE,Peru,,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Tunic fragment. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 20 7/8 x 27 1/4 in. (53.01 x 69.22 cm)
Other: 20 7/8 in. (53.01 cm).",https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307991.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,18.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,312615,MET-312615,The Metropolitan Museum of Art,Tunic Fragment,Túnica textil,Wari,,7th–9th century,Peru,,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,"Título oficial: Tunic Fragment. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 12 7/8  x  W. 21in. (32.7 x 53.3cm).",https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312615.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,18.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,307975,MET-307975,The Metropolitan Museum of Art,Tunic with Confronting Catfish,Túnica textil,Nasca-Wari,,800–850 CE,Peru,,tunica,superficie_amplia,"Camelid hair, tapestry-weave",fibra de camélido,tapiz; tejido,"Título oficial: Tunic with Confronting Catfish. Cultura registrada: Nasca-Wari. Fecha del objeto: 800–850 CE. Material registrado: Camelid hair, tapestry-weave. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 21 1/2 × W. 43 1/4 in. (54.6 × 109.9 cm).",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307975.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'nasca', 'wari']",,,,False,parcial,sin_anotar
met,751900,MET-751900,The Metropolitan Museum of Art,Votive checkerboard tunic,Túnica textil,Inca,,1460–1626,"Argentina, Bolivia, Chile, or Peru",,tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,,Título oficial: Votive checkerboard tunic. Cultura registrada: Inca. Fecha del objeto: 1460–1626. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 20 5/8 × W. 16 1/2 in. (52.4 × 41.9 cm).,https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_751900.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",,,,False,parcial,sin_anotar
met,751901,MET-751901,The Metropolitan Museum of Art,Tunic,Túnica textil,Inca,,1400–1535 CE,"Argentina, Bolivia, Chile, or Peru",,tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1400–1535 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 34 1/4 x W. 30 1/8 in. (87 x 76.5 cm).,https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_751901.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,17.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",,,,True,parcial,sin_anotar
met,316962,MET-316962,The Metropolitan Museum of Art,Four-Cornered Hat,Objeto textil,Wari,,7th–9th century,Peru,,sombrero_wari_iconografico,objeto_tridimensional_iconografico,Camelid hair,fibra de camélido,,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm).,https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316962.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,"sombrero/cap Wari-Huari conservado por potencial iconográfico: ['hat', 'four-cornered hat']",aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,317736,MET-317736,The Metropolitan Museum of Art,Woman's Dress,Objeto textil,Chuquibamba,,14th–early 16th century,Peru,,vestimenta_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,Título oficial: Woman's Dress. Cultura registrada: Chuquibamba. Fecha del objeto: 14th–early 16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 51 1/2  x  W. 60 1/2 in. (130.8 x 153.7 cm).,https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_317736.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal,principal,corpus_principal_preliminar,superficie amplia o composición visual útil detectada: ['dress'],aceptar,10.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru']",,,,False,parcial,sin_anotar
