id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
675980,principal,principal,mantener,,,,,Tunic,Túnica textil,Wari,650–1000 CE,Andean region,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_675980.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
320054,principal,principal,mantener,,,,,Miniature tabard,Objeto textil,Inca and Spanish,1600–1700,Bolivia or Peru,tunica,superficie_amplia,"Cotton, camelid hair, silk, metal",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_320054.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
313153,principal,principal,mantener,,,,,Tunic with Felines,Túnica textil,Chimú,1450–1550,Peru,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_313153.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307991,principal,principal,mantener,,,,,Tunic fragment,Túnica textil,Wari,650–1000 CE,Peru,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307991.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
312615,principal,principal,mantener,,,,,Tunic Fragment,Túnica textil,Wari,7th–9th century,Peru,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312615.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307975,principal,principal,mantener,,,,,Tunic with Confronting Catfish,Túnica textil,Nasca-Wari,800–850 CE,Peru,tunica,superficie_amplia,"Camelid hair, tapestry-weave",fibra de camélido,tapiz; tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307975.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
751900,principal,principal,mantener,,,,,Votive checkerboard tunic,Túnica textil,Inca,1460–1626,"Argentina, Bolivia, Chile, or Peru",tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_751900.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
317736,principal,principal,mantener,,,,,Woman's Dress,Objeto textil,Chuquibamba,14th–early 16th century,Peru,vestimenta_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['dress'],https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_317736.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
833953,principal,principal,mantener,,,,,Tapestry Tunic,Túnica textil,Wari,7th–9th century,Peru,tunica,superficie_amplia,Camelid wool,fibra de camélido; lana,tapiz; tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_833953.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
316913,principal,principal,mantener,,,,,Chuspa (coca bag),Bolsa textil,Moche,650-850 CE,Peru,bolso_textil,superficie_amplia,"Cotton, camelid hair, and dye",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/316913,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316913.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
