fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,312677,MET-312677,The Metropolitan Museum of Art,Feathered panel,Panel textil,Wari,,650–1000 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers, cotton, camelid fiber",algodón; fibra de camélido; fibra textil; plumas,trabajo con plumas,"Título oficial: Feathered panel. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Feathers, cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm).",https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312677.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,307977,MET-307977,The Metropolitan Museum of Art,Feathered Tunic,Túnica textil,Chimú,,1200 – 1400 CE,Peru,,tunica,materialidad_plumas,"Cotton, feathers",algodón; plumas,trabajo con plumas,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1200 – 1400 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Costumes. Dimensiones: W. 30 x H. 35 in. (76.2 x 88.9 cm).",https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307977.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,superficie amplia o composición visual útil detectada: ['tunic'],aceptar,12.0,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",,,,True,parcial,sin_anotar
met,312676,MET-312676,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers, cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers, cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 27 1/2 x W. 83 1/2 x D. 3 1/4 in. (69.9 x 212.1 x 8.3 cm).",https://www.metmuseum.org/art/collection/search/312676,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-005.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312676.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,312683,MET-312683,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 84 in. (73.66 × 213.36 cm).",https://www.metmuseum.org/art/collection/search/312683,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-009.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312683.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
met,312678,MET-312678,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 1/8 × W. 87 1/2 in. (84.14 × 222.25 cm).",https://www.metmuseum.org/art/collection/search/312678,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-013.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312678.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
met,312680,MET-312680,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 1/4 × W. 83 5/8 in. (74.3 × 212.41 cm).",https://www.metmuseum.org/art/collection/search/312680,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-006.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312680.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
met,312681,MET-312681,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 3/4 × W. 83 1/2 in. (73.03 × 212.09 cm).",https://www.metmuseum.org/art/collection/search/312681,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-007.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312681.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
met,312679,MET-312679,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 31 1/2 x W. 85 1/4 in. (80 x 216.5 cm).",https://www.metmuseum.org/art/collection/search/312679,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-012.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312679.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
met,312674,MET-312674,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid fiber",algodón; fibra de camélido; fibra textil; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 33 3/4 × W. 6 in. (85.73 × 218.44 cm).",https://www.metmuseum.org/art/collection/search/312674,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-011.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312674.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,False,parcial,sin_anotar
met,312682,MET-312682,The Metropolitan Museum of Art,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru; South Coast,,panel_textil,materialidad_plumas,"Feathers on cotton, camelid hair",algodón; fibra de camélido; plumas,trabajo con plumas,"Título oficial: Feathered Panel. Cultura registrada: Wari. Fecha del objeto: 600–900 CE. Material registrado: Feathers on cotton, camelid hair. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 28 1/2 × W. 83 1/4 in. (72.39 × 211.46 cm).",https://www.metmuseum.org/art/collection/search/312682,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-010.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312682.jpg,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,corpus_complementario_preliminar,"superficie amplia o composición visual útil detectada: ['panel', 'featherwork']",aceptar,11.0,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",,,,True,parcial,sin_anotar
