fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,313148,MET-313148,The Metropolitan Museum of Art,Weaving Basket,,Chancay,,,,Textiles-Implements,,,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",,,,https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,implemento_textil_no_analizable,,,,descartar,implemento_textil_no_analizable,,,,
met,308131,MET-308131,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308131,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308125,MET-308125,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308125,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308126,MET-308126,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308126,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308127,MET-308127,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308127,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308128,MET-308128,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308128,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308124,MET-308124,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308124,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308130,MET-308130,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308130,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308133,MET-308133,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308133,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308132,MET-308132,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308132,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308134,MET-308134,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308134,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308129,MET-308129,The Metropolitan Museum of Art,Skein of Camelid Hair,,Peruvian,,,,Textiles,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308129,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,material_sin_superficie,,,,descartar,material_sin_superficie,,,,
met,308109,MET-308109,The Metropolitan Museum of Art,Embroidered Fragment,,Paracas,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/308109,https://images.metmuseum.org/CRDImages/ao/original/DP18564_33.149.79.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,315049,MET-315049,The Metropolitan Museum of Art,Mantle,,Paracas,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/315049,https://images.metmuseum.org/CRDImages/ao/original/AR446.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,307971,MET-307971,The Metropolitan Museum of Art,Border Fragments,,Nasca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/307971,https://images.metmuseum.org/CRDImages/ao/original/DP18443.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,307970,MET-307970,The Metropolitan Museum of Art,Border Fragment,,Nasca,,,,Textiles-Woven,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/307970,https://images.metmuseum.org/CRDImages/ao/original/DP218997.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
met,313339,MET-313339,The Metropolitan Museum of Art,Dress Fragment,,Nasca,,,,Textiles-Woven,,,"Cotton, pigment",,,,https://www.metmuseum.org/art/collection/search/313339,https://images.metmuseum.org/CRDImages/ao/original/SC207347.jpg,,,descartado,exclusion_curatorial,auditoria_aceptados_no_piloto,fragmento_no_legible,,,,descartar,fragmento_no_legible,,,,
