id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
751901,principal,descartados,descartar,,,,,Tunic,Túnica textil,Inca,1400–1535 CE,"Argentina, Bolivia, Chile, or Peru",tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,,descartado,exclusion_curatorial,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_751901.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
313148,descartados,descartados,mantener,,,,,Weaving Basket,,Chancay,,,,,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",,,descartado,exclusion_curatorial,implemento_textil_no_analizable,https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,,,auditoria_aceptados_no_piloto
308131,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308131,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308125,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308125,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308126,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308126,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308127,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308127,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308128,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308128,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308124,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308124,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308130,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308130,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
308133,descartados,descartados,mantener,,,,,Skein of Camelid Hair,,Peruvian,,,,,Camelid hair,,,descartado,exclusion_curatorial,material_sin_superficie,https://www.metmuseum.org/art/collection/search/308133,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,,,auditoria_aceptados_no_piloto
