grupo_revision,id_objeto,titulo_original,cultura,clasificacion_original,material_original,puntaje_filtro,revision_visual,accion_sugerida,observaciones_revision,titulo_es_sugerido,periodo,pais,region,nombre_objeto_original,decision_filtro,estado_filtrado,motivo_filtrado,url_objeto,url_imagen,url_imagen_miniatura
aceptado_por_filtro,675980,Tunic,Wari,Textiles-Woven,"Cotton, camelid hair",17,,,,Túnica textil,,,Andean region,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['andean', 'wari']",https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-21885-001.jpg
aceptado_por_filtro,320054,Miniature tabard,Inca and Spanish,Textiles-Woven,"Cotton, camelid hair, silk, metal",10,,,,Objeto textil,,Bolivia or Peru,,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca'] | material sugiere objeto no textil: ['metal']",https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP107700.jpg
aceptado_por_filtro,313153,Tunic with Felines,Chimú,Textiles-Woven,"Cotton, camelid hair",17,,,,Túnica textil,,Peru,,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39316-001.jpg
aceptado_por_filtro,307991,Tunic fragment,Wari,Textiles-Woven,"Camelid hair, cotton",18,,,,Túnica textil,,Peru,,Tunic fragment,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/77991.jpg
aceptado_por_filtro,312615,Tunic Fragment,Wari,Textiles-Woven,"Camelid hair, cotton",18,,,,Túnica textil,,Peru,,Tunic fragment,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/TP412.jpg
aceptado_por_filtro,307975,Tunic with Confronting Catfish,Nasca-Wari,Textiles-Woven,"Camelid hair, tapestry-weave",17,,,,Túnica textil,,Peru,,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'nasca', 'wari']",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT829.jpg
aceptado_por_filtro,312677,Feathered panel,Wari,Textiles-Featherwork,"Feathers, cotton, camelid fiber",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-008.jpg
aceptado_por_filtro,751900,Votive checkerboard tunic,Inca,Textiles-Costumes,Camelid fiber,17,,,,Túnica textil,,"Argentina, Bolivia, Chile, or Peru",,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14285-001.jpg
aceptado_por_filtro,307977,Feathered Tunic,Chimú,Feathers-Costumes,"Cotton, feathers",12,,,,Túnica textil,,Peru,,Tunic,aceptar,aceptado,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP158699.jpg
aceptado_por_filtro,751901,Tunic,Inca,Textiles-Costumes,Camelid fiber,17,,,,Túnica textil,,"Argentina, Bolivia, Chile, or Peru",,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14281-001.jpg
aceptado_por_filtro,316962,Four-Cornered Hat,Wari,Textiles-Costumes,Camelid hair,10,,,,Objeto textil,,Peru,,Hat,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg
