fuente,institucion,id_objeto,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,pais,region,subregion,localidad,departamento_museo,clasificacion_original,clasificacion_normalizada,nombre_objeto_original,material_original,dimensiones,linea_credito,repositorio,url_objeto,url_imagen,url_imagen_miniatura,es_dominio_publico,derechos_reproduccion,etiquetas_originales,termino_busqueda,puntaje_textil,estado_curacion,motivo_curacion,conteo_evidencia_textil,conteo_evidencia_exclusion,fecha_descarga
met,The Metropolitan Museum of Art,675980,Tunic,Túnica textil,Wari,,650–1000 CE,,Andean region,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic,"Cotton, camelid hair",L. 40 3/4 x W. 39 3/4 in. (103.5 x 101 cm) approximately,"Gift of Claudia Quentin, 2021","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-21885-001.jpg,True,,,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['andean', 'wari']",4,0,2026-06-15
met,The Metropolitan Museum of Art,320054,Miniature tabard,Objeto textil,Inca and Spanish,,1600–1700,Bolivia or Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic,"Cotton, camelid hair, silk, metal",H. 14 1/2 x W. 11 in. (36.8 x 27.9 cm),"Gift of Penny Righthand, in memory of Richard I. Levine, 2007","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP107700.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca'] | material sugiere objeto no textil: ['metal']",3,1,2026-06-15
met,The Metropolitan Museum of Art,313153,Tunic with Felines,Túnica textil,Chimú,,1450–1550,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic,"Cotton, camelid hair",H. 25 x  W. 70  in. (63.5 x 177.8 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39316-001.jpg,True,,Cats,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",4,0,2026-06-15
met,The Metropolitan Museum of Art,307991,Tunic fragment,Túnica textil,Wari,,650–1000 CE,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic fragment,"Camelid hair, cotton","Overall: 20 7/8 x 27 1/4 in. (53.01 x 69.22 cm)
Other: 20 7/8 in. (53.01 cm)","Gift of George D. Pratt, 1930","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/77991.jpg,True,,,Andean textile,18,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",4,0,2026-06-15
met,The Metropolitan Museum of Art,312615,Tunic Fragment,Túnica textil,Wari,,7th–9th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic fragment,"Camelid hair, cotton",H. 12 7/8  x  W. 21in. (32.7 x 53.3cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/TP412.jpg,True,,,Andean textile,18,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",4,0,2026-06-15
met,The Metropolitan Museum of Art,307975,Tunic with Confronting Catfish,Túnica textil,Nasca-Wari,,800–850 CE,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic,"Camelid hair, tapestry-weave",H. 21 1/2 × W. 43 1/4 in. (54.6 × 109.9 cm),"Gift of George D. Pratt, 1929","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT829.jpg,True,,Fish,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'nasca', 'wari']",4,0,2026-06-15
met,The Metropolitan Museum of Art,312677,Feathered panel,Panel textil,Wari,,650–1000 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers, cotton, camelid fiber",H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-008.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,751900,Votive checkerboard tunic,Túnica textil,Inca,,1460–1626,"Argentina, Bolivia, Chile, or Peru",,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Tunic,Camelid fiber,H. 20 5/8 × W. 16 1/2 in. (52.4 × 41.9 cm),"Purchase, Fletcher Fund, Claudia Quentin Gift, and Harris Brisbane Dick Fund, 2018","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14285-001.jpg,True,,,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",4,0,2026-06-15
met,The Metropolitan Museum of Art,307977,Feathered Tunic,Túnica textil,Chimú,,1200 – 1400 CE,Peru,,,,The Michael C. Rockefeller Wing,Feathers-Costumes,Textil,Tunic,"Cotton, feathers",W. 30 x H. 35 in. (76.2 x 88.9 cm),"Gift of George D. Pratt, 1929","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP158699.jpg,True,,,Andean textile,12,aceptado_textil,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",3,0,2026-06-15
met,The Metropolitan Museum of Art,751901,Tunic,Túnica textil,Inca,,1400–1535 CE,"Argentina, Bolivia, Chile, or Peru",,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Tunic,Camelid fiber,H. 34 1/4 x W. 30 1/8 in. (87 x 76.5 cm),"Purchase, Fletcher Fund, Claudia Quentin Gift, and Harris Brisbane Dick Fund, 2017","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14281-001.jpg,True,,,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",4,0,2026-06-15
