id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,categoria_revision_v2,motivo_revision_v2,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria
313148,Weaving Basket,Chancay,,Textiles-Implements,Basket with weaving implements,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,descartar_implemento_textil,"implemento asociado al tejido, no pieza textil analizable",descartar,descartar,implemento_textil_no_analizable,
308131,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308131,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308125,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308125,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308126,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308126,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308127,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308127,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308128,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308128,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308124,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308124,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308130,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308130,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308133,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308133,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308132,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308132,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308134,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308134,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
308129,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308129,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",descartar,descartar,material_sin_superficie,
314894,Square Cloth with Feathered Border,Chimú,,Textiles-Featherwork,Panel,"Feathers, camelid hair, cotton, wool",https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
316943,Feathered Band,Peruvian,,Textiles-Featherwork,Band,"Cotton, feathers",https://www.metmuseum.org/art/collection/search/316943,https://images.metmuseum.org/CRDImages/ao/original/DP18599.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
316961,Feathered Cap,Peruvian,,Textiles-Featherwork,Hat,"Camelid hair, feathers",https://www.metmuseum.org/art/collection/search/316961,https://images.metmuseum.org/CRDImages/ao/original/DP-30088-001.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
308287,Tabard,Chimú,,Feathers-Costumes,Tabard,"Cotton, feathers, plant fiber",https://www.metmuseum.org/art/collection/search/308287,https://images.metmuseum.org/CRDImages/ao/original/DP-41559-001.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,patron_geometrico_legible,
314616,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314616,https://images.metmuseum.org/CRDImages/ao/original/250582.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
316928,Sling,Inca (?),,Textiles-Woven,Sling,Camelid hair,https://www.metmuseum.org/art/collection/search/316928,https://images.metmuseum.org/CRDImages/ao/original/vs1994.35.103a.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
314617,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314617,https://images.metmuseum.org/CRDImages/ao/original/250583.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
314615,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314615,https://images.metmuseum.org/CRDImages/ao/original/250581.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
315773,Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/315773,https://images.metmuseum.org/CRDImages/ao/original/250471.jpg,secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,pasar_a_corpus_secundario,pasar_a_corpus_secundario,faja_o_banda_util_secundario,
319523,Tunic Panel,Nasca,,Textiles-Featherwork,Tunic panel,"Cotton, feathers",https://www.metmuseum.org/art/collection/search/319523,https://images.metmuseum.org/CRDImages/ao/original/hzTR554_2004.jpg,secundario_featherwork,textil con plumas; conservar en corpus secundario,pasar_a_corpus_secundario,pasar_a_corpus_secundario,patron_geometrico_legible,
308078,"Border fragment, figures with staves",Paracas,,Textiles-Woven,Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308078,https://images.metmuseum.org/CRDImages/ao/original/DP-27315-001.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
316910,Sash Fragment,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316910,"https://images.metmuseum.org/CRDImages/ao/original/DP18680_1994.35.85,2.jpg",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
316916,Sash Fragments,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316916,https://images.metmuseum.org/CRDImages/ao/original/DP18678_1994.35.91.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
316915,Sash Fragments,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316915,"https://images.metmuseum.org/CRDImages/ao/original/DP18677_1994.35.90A,B.jpg",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308084,Tapestry Border Fragment,Peruvian,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308084,https://images.metmuseum.org/CRDImages/ao/original/97502.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
316894,Sash Fragment with Fringe,Peruvian,,Textiles-Woven,Sash fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/316894,https://images.metmuseum.org/CRDImages/ao/original/DP18602.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
316945,Border Fragment,Paracas,,Textiles-Woven,Border fragment,"Cotton, camelid hair",https://www.metmuseum.org/art/collection/search/316945,https://images.metmuseum.org/CRDImages/ao/original/DP-28474-001.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
314528,Tunic with Diamond Band,Inca,,Textiles-Woven,Tunic,"Camelid hair, cotton",https://www.metmuseum.org/art/collection/search/314528,https://images.metmuseum.org/CRDImages/ao/original/DP107698.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
315708,Band Fragment,Inca,,Textiles-Woven,Textile fragment,"Cotton, camelid hair",https://www.metmuseum.org/art/collection/search/315708,https://images.metmuseum.org/CRDImages/ao/original/DP18703.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
