strategy,records_returned,unique_ids_in_strategy,new_ids_added
q_andes_textile,31,31,31
q_peru_textile,123,123,105
q_andean_weaving,7,7,0
q_peruvian_weaving,2,2,0
q_inca_textile,6,6,0
q_wari_textile,17,17,0
q_huari_textile,1,1,0
q_chancay_textile,28,28,0
q_nazca_textile,0,0,0
q_nasca_textile,11,11,0
q_paracas_textile,31,31,0
q_moche_textile,10,10,0
q_chimu_textile,18,18,0
q_tiwanaku_textile,6,6,0
type_textile,2000,2000,1890
type_textile_medium_cotton,391,391,19
type_textile_medium_camelid,36,36,0
type_textile_culture_peru,98,98,0
type_textile_culture_andes,23,23,0
technique_woven_peru,50,50,0
medium_camelid_peru,33,33,0
