id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,motivo_filtrado,categoria_revision_v2,motivo_revision_v2,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_sugerida
316983,Four-Cornered Hat,Tiwanaku,,Textiles-Costumes,Hat,Camelid hair,https://www.metmuseum.org/art/collection/search/316983,https://images.metmuseum.org/CRDImages/ao/original/DP-29592-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",revision_prenda_iconografica_prioritaria,prenda Wari/Tiwanaku con posible valor iconográfico,,,,revisar_para_corpus_principal_o_secundario
316981,Four-Cornered Hat,Tiwanaku,,Textiles-Costumes,Hat,Camelid hair,https://www.metmuseum.org/art/collection/search/316981,https://images.metmuseum.org/CRDImages/ao/original/DP-29590-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",revision_prenda_iconografica_prioritaria,prenda Wari/Tiwanaku con posible valor iconográfico,,,,revisar_para_corpus_principal_o_secundario
315772,Headband with ornamental tassels,Nasca,,Textiles-Woven,Tassels,Camelid hair,https://www.metmuseum.org/art/collection/search/315772,https://images.metmuseum.org/CRDImages/ao/original/DP-26542-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['headband'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'nasca'] | título sugiere objeto no textil: ['ornament']",revision_formato_longitudinal,formato longitudinal; revisar si aporta motivos útiles,,,,revisar_para_secundario_o_principal
313148,Weaving Basket,Chancay,,Textiles-Implements,Basket with weaving implements,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['weaving'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['weaving'] | evidencia cultural/geográfica andina: ['peru', 'chancay'] | material sugiere objeto no textil: ['metal', 'stone', 'wood', 'bone', 'shell']",descartar_implemento_textil,"implemento asociado al tejido, no pieza textil analizable",,,,descartar
314894,Square Cloth with Feathered Border,Chimú,,Textiles-Featherwork,Panel,"Feathers, camelid hair, cotton, wool",https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'wool', 'camelid'] | título contiene términos textiles: ['cloth'] | título contiene términos débiles asociados a fragmentos o paneles: ['border'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",secundario_featherwork,textil con plumas; conservar en corpus secundario,,,,pasar_a_corpus_secundario
308078,"Border fragment, figures with staves",Paracas,,Textiles-Woven,Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308078,https://images.metmuseum.org/CRDImages/ao/original/DP-27315-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'border'] | evidencia cultural/geográfica andina: ['peru', 'paracas'] | título sugiere objeto no textil: ['figure']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
307944,Sash,Chimú,,Textiles-Woven,Sash,Camelid hair,https://www.metmuseum.org/art/collection/search/307944,https://images.metmuseum.org/CRDImages/ao/original/LC-28_171_7_TMSa.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['sash'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",revision_formato_longitudinal,formato longitudinal; revisar si aporta motivos útiles,,,,revisar_para_secundario_o_principal
308131,Skein of Camelid Hair,Peruvian,,Textiles,Skein,Camelid hair,https://www.metmuseum.org/art/collection/search/308131,https://images.metmuseum.org/CRDImages/ao/original/97523.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",descartar_material_sin_superficie,"madeja/hilo: material textil, pero sin superficie visual para análisis",,,,descartar
316948,Openweave Cap,Peruvian,,Textiles-Costumes,Hat,Cotton,https://www.metmuseum.org/art/collection/search/316948,https://images.metmuseum.org/CRDImages/ao/original/hz1994_35_123.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",revision_prenda_accesorio,prenda/accesorio textil; revisar si aporta patrón o iconografía,,,,revisar_para_secundario
316910,Sash Fragment,Peruvian,,Textiles-Woven,Sash fragment,Cotton,https://www.metmuseum.org/art/collection/search/316910,"https://images.metmuseum.org/CRDImages/ao/original/DP18680_1994.35.85,2.jpg","clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['sash'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
